NAME	COUNTRY	SAILNO	MEL	MIA	MAL	HYE	GAR	DEL	SFG	KIE	EUR	SAN	MEL2014	MIA2015	MAL2015	HYE2015	DEL2015
Robert Daniel	USA	USA-130	-1	12	37	-1	-1	-1	-1	-1	-1	47	-1	47	-1	-1	-1
Sarah Newberry	USA	USA-278	-1	13	17	19	-1	-1	-1	-1	-1	35	-1	22	27	25	15
Sandra Sandqvist	SWE	SWE-054	-1	14	42	77	-1	-1	-1	28	-1	-1	-1	-1	52	-1	-1
Enrique Figueroa	PUR	PUR-026	-1	15	23	-1	-1	-1	-1	-1	-1	25	-1	10	24	23	-1
Lucy Macgregor	GBR	GBR-257	-1	16	7	9	-1	16	1	-1	17	7	-1	14	15	19	-1
Lucas Gonzalez Smith	ARG	ARG-239	-1	17	-1	33	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Nicole van der Velden	ARU	ARU-212	-1	18	29	20	6	19	-1	-1	10	24	-1	24	22	27	13
Allan Norregaard	DEN	DEN-281	-1	20	15	15	-1	23	-1	2	4	11	-1	-1	14	16	2
Taylor Reiss	USA	USA-023	-1	21	41	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Stephanie Hudson	USA	USA-123	-1	22	-1	-1	-1	-1	9	17	50	40	-1	-1	-1	-1	31
Jeremy Wilmot	AUS	USA-133	-1	23	-1	-1	-1	-1	-1	-1	-1	41	-1	25	33	-1	-1
Ingrid Petitjean	FRA	FRA-199	-1	24	21	25	9	5	-1	-1	63	38	-1	-1	-1	-1	-1
Sandra Tartaglino	USA	USA-033	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	35	-1	-1	-1
Mark Mendelblatt	USA	USA-027	-1	26	34	-1	14	17	-1	-1	-1	-1	-1	26	-1	-1	23
Lin Ea Cenholt Christiansen	DEN	DEN-282	-1	27	39	21	-1	21	-1	9	29	29	-1	-1	13	8	1
Anne-Line Lyngsø Thomsen	DEN	DEN-080	-1	28	54	58	-1	-1	-1	20	-1	51	-1	-1	-1	-1	-1
Katelyn Flood	USA	USA-189	-1	29	-1	63	-1	-1	-1	-1	-1	67	-1	36	-1	-1	-1
Sarah Streater	USA	USA-169	-1	30	58	39	-1	-1	-1	-1	-1	42	-1	-1	-1	-1	-1
Courtney Clamp	USA	USA-136	-1	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Billy Besson	FRA	FRA-001	-1	-1	1	2	-1	1	-1	-1	3	1	-1	3	1	1	4
Franck Cammas	FRA	FRA-077	-1	-1	8	14	-1	2	-1	-1	13	22	-1	8	3	12	12
Renee Groeneveld	NED	NED-243	-1	-1	10	11	-1	9	-1	-1	7	20	-1	6	9	3	-1
Moana Vaireaux	FRA	FRA-065	-1	-1	11	5	2	13	-1	-1	14	10	-1	7	7	6	6
Matías Bühler	SUI	SUI-220	-1	-1	12	8	-1	7	-1	-1	9	6	-1	44	5	15	8
Flora Laugier	FRA	FRA-078	-1	-1	19	24	-1	10	-1	-1	31	21	-1	27	29	24	17
Tim Shuwalow	SWE	SWE-012	-1	-1	22	35	-1	-1	-1	29	-1	-1	-1	-1	-1	-1	-1
Audrey Ogereau	FRA	FRA-085	-1	-1	25	26	3	15	-1	-1	16	16	-1	-1	-1	-1	-1
Francesco Porro	ITA	ITA-126	-1	-1	26	36	8	-1	-1	8	28	26	-1	-1	-1	-1	-1
Maxim Semenov	RUS	RUS-227	-1	-1	27	37	13	-1	-1	-1	32	34	-1	-1	42	32	26
Samuel Albrecht	BRA	BRA-231	-1	-1	28	-1	-1	-1	-1	-1	36	44	-1	31	-1	28	-1
Rupert White	GBR	GBR-120	-1	-1	30	40	-1	25	5	-1	27	27	-1	30	-1	-1	-1
Tom Phipps	GBR	GBR-120	-1	-1	31	27	-1	11	4	-1	22	23	-1	20	20	21	30
Evan Walker	AUS	AUS-217	-1	-1	32	32	12	20	-1	25	30	-1	-1	-1	-1	-1	-1
Paul Kohlhoff	GER	GER-211	-1	-1	35	34	-1	-1	-1	7	23	31	-1	19	32	10	18
Alena Pankratova	RUS	RUS-255	-1	-1	36	60	-1	-1	-1	-1	52	60	-1	-1	53	-1	-1
David Bondì	ITA	ITA-089	-1	-1	38	65	-1	-1	-1	13	38	43	-1	-1	-1	-1	-1
Lorenzo Bressani	ITA	ITA-209	-1	-1	40	30	-1	-1	-1	3	18	13	-1	16	17	31	16
Ferdinando Trambaiolo	ITA	ITA-090	-1	-1	43	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Clinio Marcelino de Freitas Neto	BRA	BRA-230	-1	-1	44	48	-1	28	-1	-1	64	-1	-1	-1	-1	-1	-1
Sven Alberto Stadel	GER	ESP-151	-1	-1	45	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Marc Verdaguer Foz	ESP	ESP-198	-1	-1	46	-1	-1	-1	-1	-1	53	54	-1	-1	-1	-1	-1
Anette Viborg Andreasen	DEN	DEN-187	-1	-1	47	52	-1	24	-1	-1	33	32	-1	-1	-1	-1	-1
Francesco Sabatini	ITA	ITA-166	-1	-1	48	42	-1	-1	-1	12	42	-1	-1	-1	40	-1	-1
Sergey Dzhienbaev	RUS	RUS-247	-1	-1	49	41	-1	27	-1	-1	34	30	-1	48	28	36	21
Esteban Blando	ARG	ARG-149	-1	-1	50	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Vincenzo Sorrentino	ITA	ITA-32	-1	-1	51	22	-1	-1	-1	19	39	-1	-1	-1	-1	-1	-1
